"APPLESAUCE,CND,SWTND,WO/SALT",0.76,76.0
"APPLESAUCE,CND,UNSWTND,W/ VIT C",0.43,43.0
"APPLESAUCE,CND,UNSWTND,WO/ VIT C",0.43,43.0
"APRICOT NECTAR,CND,W/ VIT C",0.56,56.0
"APRICOT NECTAR,CND,WO/ VIT C",0.56,56.0
"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",0.96,96.0
"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",0.49,49.0
"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",0.27,27.0
"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",0.22,22.0
"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",0.83,83.0
"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",0.83,83.0
"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",0.48,48.0
"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",0.63,63.0
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",1.26,126.0
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",3.20,320.0
"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",1.13,113.0
"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",0.85,85.0
"APRICOTS,DRIED,SULFURED,UNCKD",2.38,238.0
"APRICOTS,FROZEN,SWEETENED",0.98,98.0
"APRICOTS,RAW",0.48,48.0
"ARCHWAY HOME STYLE COOKIES,APPL FILLED OATMEAL",3.94,394.0
"ARCHWAY HOME STYLE COOKIES,APRICOT FILLED",4.01,401.0
"ARCHWAY HOME STYLE COOKIES,AUNT BEA'S POUND CAKE COOKIE",4.02,402.0
"ARCHWAY HOME STYLE COOKIES,BLACK WALNUT ICE BOX",4.97,497.0
"ARCHWAY HOME STYLE COOKIES,CHOC CHIP DROP",4.02,402.0
"ARCHWAY HOME STYLE COOKIES,CHOC CHIP ICE BOX",4.86,486.0
